Book_book_name,Book_rating,Book_cover,Book_cover_url,Author,Translator,Publisher,Year,Price
我杀了他,7.4,https://img3.doubanio.com/view/subject/l/public/s25798592.jpg,https://book.douban.com/subject/20449829/,东野圭吾 , 郑琳 ,南海出版公司 ,2013,32
超·杀人事件,8.2,https://img3.doubanio.com/view/subject/l/public/s33473051.jpg,https://book.douban.com/subject/5939312/,东野圭吾 , 计丽屏 ,南海出版公司 ,2011,22
盛夏的方程式,7.4,https://img3.doubanio.com/view/subject/l/public/s24230504.jpg,https://book.douban.com/subject/17724327/,东野圭吾 , 袁斌 ,现代出版社 ,2012,28
毒笑小说,7.8,https://img3.doubanio.com/view/subject/l/public/s4466256.jpg,https://book.douban.com/subject/4718973/,东野圭吾 , 李盈春 ,南海出版公司 ,2010,25
流星之绊,8,https://img1.doubanio.com/view/subject/l/public/s29823047.jpg,https://book.douban.com/subject/26774897/,东野圭吾 , 徐建雄 ,南海出版公司 ,2016,45
圣女的救济,7.7,https://img3.doubanio.com/view/subject/l/public/s29823045.jpg,https://book.douban.com/subject/26906797/,东野圭吾 , 袁斌 ,南海出版公司 ,2017,45
绑架游戏,7.3,https://img1.doubanio.com/view/subject/l/public/s4200408.jpg,https://book.douban.com/subject/4191594/,东野圭吾 , 郑悦 ,上海译文出版社 ,2010,20
湖畔,7.3,https://img3.doubanio.com/view/subject/l/public/s28392572.jpg,https://book.douban.com/subject/26598142/,东野圭吾 , 沈杨 ,化学工业出版社 ,2016,32
悖论13,7.4,https://img1.doubanio.com/view/subject/l/public/s11181029.jpg,https://book.douban.com/subject/11511204/,东野圭吾 , 林青华 ,南海出版公司 ,2012,32
同级生,6.7,https://img3.doubanio.com/view/subject/l/public/s8926854.jpg,https://book.douban.com/subject/7047148/,东野圭吾 , 王丽丽 ,南海出版公司 ,2012,28
黎明之街,7.4,https://img1.doubanio.com/view/subject/l/public/s29823039.jpg,https://book.douban.com/subject/27178063/,东野圭吾 , 李超楠 ,南海出版公司 ,2018,49.5
毕业,7.2,https://img3.doubanio.com/view/subject/l/public/s10419106.jpg,https://book.douban.com/subject/10598145/,东野圭吾 , 黄真 ,南海出版公司 ,2012,28
放学后,7.5,https://img1.doubanio.com/view/subject/l/public/s29516909.jpg,https://book.douban.com/subject/27102207/,东野圭吾 , 赵峻 ,南海出版公司 ,2017,45
红手指,8.1,https://img1.doubanio.com/view/subject/l/public/s28373307.jpg,https://book.douban.com/subject/26651926/,东野圭吾 , 于壮 ,南海出版公司 ,2016,39.5
